full_address,lat,lon
"Henriette-Obermüller-Straße 10, None Karlsruhe",49.00281780653423,8.413939337158068
"Nebeniusstraße 22, 76137 Karlsruhe",48.99710580380611,8.40764447397986
"Augartenstraße 21, 76137 Karlsruhe",48.999760491747196,8.406456565413785
"Augartenstraße 50, 76137 Karlsruhe",48.998672381579986,8.40867071991562
"Hermann-Levi-Platz 1, 76137 Karlsruhe",49.004698759532715,8.406544046609598
"Erbprinzenstraße 13, 76133 Karlsruhe",49.00713499944284,8.400254369323514
"Erbprinzenstraße 16, 76133 Karlsruhe",49.00866833720642,8.399381235050747
"Erbprinzenstraße 15, 76133 Karlsruhe",49.00783295682656,8.39893878519821
"Alte Weingartener Straße 41, 76227 Karlsruhe",49.00393422859036,8.477663230406922
"Franz-Lust-Straße 31, 76185 Karlsruhe",49.01787630227587,8.3743641812577
"Franz-Lust-Straße 15, 76185 Karlsruhe",49.016948481056886,8.374830072661856
"Moltkestraße 90, 76133 Karlsruhe",49.01565699199591,8.37459182641257
"Kaiserallee 37-39, 76133 Karlsruhe",49.01008011102505,8.379057179036707
"Zehntwiesenstraße 47, 76275 Ettlingen",48.94549320702755,8.389425798809334
"Zehntwiesenstraße 37, 76275 Ettlingen",48.94456343075493,8.393934251533377
"Am Dickhäuterplatz 22, 76275 Ettlingen",48.946570147890576,8.411592576219611
"Gutleuthausstraße 1, 76275 Ettlingen",48.94727544836693,8.410743182004818
"Pforzheimer Straße 68, 76275 Ettlingen",48.93831443786621,8.418377876281738
"Am Dickhäuterplatz 1, 76275 Ettlingen",48.94677734375,8.408056259155273
"Pforzheimer Straße 74, 76275 Ettlingen",48.93693161010742,8.420077323913574
"Rubensstraße 21, 76149 Karlsruhe",49.04463493302745,8.38307865138623
"Kirchfeldstraße 145, 76149 Karlsruhe",49.05247195266661,8.379573025722536
"Schlossplatz 3, 76275 Ettlingen",48.94042175554319,8.405638099765028
"Eichelbergstraße 34, 76189 Karlsruhe",48.99832651316045,8.348991827494304
"Schlossbezirk 10, 76131 Karlsruhe",49.01322503664309,8.405817896549623
"Festplatz 3, 76137 Karlsruhe",49.00125183969806,8.401864256250857
"Festplatz 4, 76137 Karlsruhe",49.003420004721995,8.401236376619513
"Festplatz 9, 76137 Karlsruhe",49.002517924828304,8.399928949620092
"Ettlinger Straße 4b, 76137 Karlsruhe",49.00060066612021,8.402263805276835
"Willy-Andreas-Allee 1, 76131 Karlsruhe",49.015688070486334,8.39702913794103
"Willy-Andreas-Allee 5, 76131 Karlsruhe",49.01627149912826,8.395803012906372
"Willy-Andreas-Allee 3, 76131 Karlsruhe",49.01607279661127,8.396463315585246
"Weiherhof 1, 76227 Karlsruhe",48.997069027934884,8.473019758918602
"Weiherhof 13, 76227 Karlsruhe",48.9972723260506,8.471553595201597
"Prinzessenstraße 2, 76227 Karlsruhe",48.997319032191115,8.47387988294714
"Willy-Andreas-Allee 7, 76131 Karlsruhe",49.01601723185893,8.395221490520541
"Gymnasiumstraße 1-3, 76227 Karlsruhe",48.99885333061794,8.477495650282586
"Pfinztalstraße 9, 76227 Karlsruhe",48.99852603758224,8.473853679070269
"Prinzessenstraße 1, 76227 Karlsruhe",48.99787319442766,8.473694856543647
"Christofstraße 23, 76227 Karlsruhe",48.99970604466802,8.460572391831835
"Liebensteinstraße 5, 76227 Karlsruhe",49.00375177091943,8.482417585618101
"Marstallstraße 18, 76227 Karlsruhe",48.99769479424313,8.472645026665294
"Messeallee 1, 76287 Rheinstetten",48.97994473454281,8.328788732269865
"Blumenstraße 2a, 76133 Karlsruhe",49.007753039359734,8.398266757319927
"Ortenbergstraße 8, 76135 Karlsruhe",48.9913392995882,8.375999875021956
"Wilhelm-Baur-Straße 3, 76135 Karlsruhe",49.00409551142576,8.368517295414565
"Hermann-Veit-Straße 7, 76135 Karlsruhe",48.997117068077046,8.37671823455176
"Durlacher Allee 109, 76137 Karlsruhe",49.004775229239684,8.44456644915603
"Schlossbezirk 11, 76131 Karlsruhe",49.01297747481014,8.406376251398859
"Engesserstraße 2a, 76131 Karlsruhe",49.01280821296441,8.407579496766884
"Lorenzstraße 15, 76135 Karlsruhe",49.002034840727156,8.383668324950959
"Kurt-Schumacher-Straße 1, 76187 Karlsruhe",49.03137866489997,8.371650736722632
"Weiherstraße 17, 76227 Karlsruhe",48.99611624886213,8.472527234796688
"Brunnenhausstraße 2, 76227 Karlsruhe",48.99597358703613,8.472572326660156
"Weiherstraße 15, 76227 Karlsruhe",48.99616629881293,8.472105317882503
"Weiherstraße 18, 76227 Karlsruhe",48.99617471686987,8.472911184244195
"Brunnenhausstraße 5, None None",48.99553393274519,8.472945658092284
"Brunnenhausstraße 4, None None",48.99580759569012,8.472582589212093
"Brunnenhausstraße 6, None None",48.99570078440563,8.47259117087168
"Brunnenhausstraße 8, None None",48.99548820622482,8.472601067031558
"Brunnenhausstraße 1, None None",48.995925840657236,8.47294593402571
"Brunnenhausstraße 3, None None",48.99579053296255,8.472953552473177
"Brunnenhausstraße 3a, None None",48.99567985534668,8.472959995269775
"Grezzostraße 5, 76229 Karlsruhe",49.00799720239074,8.492070000064341
"Dürkheimer Straße 1a, 76187 Karlsruhe",49.03369903564453,8.370014190673828
"Dürkheimer Straße 1b, 76187 Karlsruhe",49.033498764038086,8.370014190673828
"Dürkheimer Straße 1, 76187 Karlsruhe",49.033624041293606,8.368964539302963
"Dürkheimer Straße 3, 76187 Karlsruhe",49.03372383117676,8.368715286254883
"Dürkheimer Straße 2e, 76187 Karlsruhe",49.03407572553932,8.368841145866371
"Dürkheimer Straße 2d, 76187 Karlsruhe",49.03407377870572,8.369080387191024
"Dürkheimer Straße 2c, 76187 Karlsruhe",49.034077633719555,8.369359877334178
"Dürkheimer Straße 2b, 76187 Karlsruhe",49.03410178440778,8.36963616464902
"Dürkheimer Straße 2a, 76187 Karlsruhe",49.034067153930664,8.370069980621338
"Dürkheimer Straße 7, 76187 Karlsruhe",49.03374671936035,8.367926597595215
"Dürkheimer Straße 5, 76187 Karlsruhe",49.03366217527132,8.368138706962819
"Dürkheimer Straße 9, 76187 Karlsruhe",49.03366661071777,8.367516994476318
"Dürkheimer Straße 11, 76187 Karlsruhe",49.03375053405762,8.36730432510376
"Dürkheimer Straße 13, 76187 Karlsruhe",49.03367042541504,8.366896629333496
"Dürkheimer Straße 15, 76187 Karlsruhe",49.03375496950407,8.366684519965892
"Dürkheimer Straße 17, 76187 Karlsruhe",49.03367805480957,8.366284847259521
"Dürkheimer Straße 19, 76187 Karlsruhe",49.03376259905367,8.366072733975573
"Dürkheimer Straße 4, 76187 Karlsruhe",49.0340518951416,8.367990970611572
"Dürkheimer Straße 6, 76187 Karlsruhe",49.03405195578551,8.367751836532202
"Dürkheimer Straße 8, 76187 Karlsruhe",49.0340690612793,8.367460250854492
"Dürkheimer Straße 10, 76187 Karlsruhe",49.03405565568701,8.36722206994186
"Dürkheimer Straße 12, 76187 Karlsruhe",49.034052802475735,8.36689354659959
"Dürkheimer Straße 14, 76187 Karlsruhe",49.03404993743393,8.36666035625932
"Dürkheimer Straße 16, 76187 Karlsruhe",49.03406340008391,8.366370916628865
"Dürkheimer Straße 18, 76187 Karlsruhe",49.03408056912648,8.366077184898497
"Dürkheimer Straße 20, 76187 Karlsruhe",49.034339904785156,8.365800380706787
"Dürkheimer Straße 22, 76187 Karlsruhe",49.03413200378418,8.365700721740723
"Dürkheimer Straße 24, 76187 Karlsruhe",49.03437880483622,8.36517253799818
"Stresemannstraße 1a, 76187 Karlsruhe",49.026629489381634,8.373462567397734
"Stresemannstraße 1, 76187 Karlsruhe",49.02658844081564,8.374185532410012
"Stresemannstraße 3, 76187 Karlsruhe",49.026737213134766,8.374199390411377
"Stresemannstraße 5, 76187 Karlsruhe",49.026885986328125,8.374213218688965
"Stresemannstraße 7, 76187 Karlsruhe",49.02705001831055,8.374228954315186
"Stresemannstraße 30, 76187 Karlsruhe",49.026324310856786,8.374962010094086
"Stresemannstraße 36, 76187 Karlsruhe",49.02682967955285,8.375009842434078
"Stresemannstraße 32, 76187 Karlsruhe",49.026493072509766,8.374978065490723
"Stresemannstraße 34, 76187 Karlsruhe",49.02665901184082,8.374993801116943
"Stresemannstraße 28, 76187 Karlsruhe",49.02609063312376,8.374695192888545
"Germersheimer Straße 2, 76187 Karlsruhe",49.0330828675495,8.369608639669858
"Germersheimer Straße 4, 76187 Karlsruhe",49.033311941561635,8.369611025857484
"Germersheimer Straße 8, 76187 Karlsruhe",49.033273609969314,8.368972061573128
"Germersheimer Straße 6, 76187 Karlsruhe",49.033077239990234,8.368968963623047
